estudante,curso,horas,habito,nota
Estudante_66,Ciencia de Dados,4,Misto,60.4
Estudante_67,Ciencia de Dados,3.7,Vespera,65.6
Estudante_68,Engenharia,1.8,Misto,69
Estudante_69,Engenharia,2.7,Vespera,47.5
Estudante_70,Ciencia de Dados,5.5,Vespera,61.7
Estudante_71,Ciencia de Dados,6.6,Vespera,62
Estudante_72,Ciencia de Dados,3.9,Vespera,53.3
Estudante_73,Ciencia de Dados,5,Vespera,51.4
Estudante_74,Computacao,8.8,Misto,57.6
Estudante_75,Ciencia de Dados,10.3,Antecipado,70.5
Estudante_76,Engenharia,2.9,Misto,55.9
Estudante_77,Ciencia de Dados,4.7,Vespera,53.7
Estudante_78,Ciencia de Dados,9.1,Misto,65.7
Estudante_79,Computacao,4,Misto,48.6
Estudante_80,Ciencia de Dados,4.9,Vespera,72.1
Estudante_81,Computacao,4.8,Vespera,56.7
Estudante_82,Ciencia de Dados,3.2,Antecipado,62.3
Estudante_83,Ciencia de Dados,4,Misto,61.5
Estudante_84,Computacao,4.9,Antecipado,61.6
Estudante_85,Engenharia,4.1,Misto,79.2
Estudante_86,Computacao,8.7,Vespera,55.6
Estudante_87,Ciencia de Dados,3.9,Misto,72.4
Estudante_88,Ciencia de Dados,4,Antecipado,61.3
Estudante_89,Ciencia de Dados,7.1,Vespera,54.6
Estudante_90,Ciencia de Dados,2.9,Misto,59.4
Estudante_91,Engenharia,4.9,Vespera,69.1
Estudante_92,Ciencia de Dados,2.3,Misto,55.3
Estudante_93,Ciencia de Dados,9,Vespera,56.3
Estudante_94,Economia,4.4,Vespera,62.8
Estudante_95,Economia,4,Vespera,70.9
Estudante_96,Engenharia,2.7,Misto,59.2
Estudante_97,Ciencia de Dados,5,Misto,47.8
Estudante_98,Computacao,3.4,Vespera,47.5
Estudante_99,Engenharia,3.8,Antecipado,53.2
Estudante_100,Computacao,9.5,Antecipado,59
Estudante_101,Computacao,4.6,Misto,61.2
Estudante_102,Ciencia de Dados,2.9,Misto,66.8
Estudante_103,Ciencia de Dados,5.4,Antecipado,57.6
Estudante_104,Ciencia de Dados,4.2,Misto,50
Estudante_105,Economia,6.7,Misto,68.8
Estudante_106,Economia,10.2,Vespera,67.3
Estudante_107,Engenharia,3,Misto,71.8
Estudante_108,Engenharia,6.3,Misto,45.7
Estudante_109,Computacao,5.2,Misto,62.7
Estudante_110,Ciencia de Dados,7.8,Antecipado,76.9
Estudante_111,Computacao,4.5,Misto,68.6
Estudante_112,Engenharia,7.6,Misto,54.9
Estudante_113,Engenharia,2.1,Antecipado,66.7
Estudante_114,Computacao,11.6,Antecipado,56.5
Estudante_115,Computacao,7.7,Vespera,58.8
Estudante_116,Computacao,4.6,Vespera,73.3
Estudante_117,Ciencia de Dados,2.4,Vespera,56.7
Estudante_118,Ciencia de Dados,6.9,Antecipado,71.2
Estudante_119,Computacao,6.4,Misto,59.7
Estudante_120,Engenharia,5,Antecipado,45.9
